YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 284 12.8 16.7  1.75  5.26  4.38 999 1015.7   2.2   5.3  -5.7 99.0 99.00
2001 01 01 01 285 12.2 14.6  1.77  5.00  4.47 999 1016.4   1.7   5.3  -6.4 99.0 99.00
2001 01 01 02 283 12.0 14.2  1.64  5.00  4.35 999 1017.2   1.3   5.3  -6.1 99.0 99.00
2001 01 01 03 285 10.9 14.3  1.49  5.00  4.36 999 1018.1   1.0   5.2  -6.4 99.0 99.00
2001 01 01 04 283 10.7 13.2  1.39  5.00  4.32 999 1018.7   0.7   5.0  -6.7 99.0 99.00
2001 01 01 05 291 10.6 13.9  1.32  5.00  4.23 999 1019.1   0.3   5.1  -6.8 99.0 99.00
2001 01 01 06 288 10.9 13.6  1.43  5.00  4.25 999 1019.6   0.0   5.3  -7.0 99.0 99.00
2001 01 01 07 291 10.2 12.2  1.33  4.76  4.14 999 1020.1  -0.1   5.4  -6.6 99.0 99.00
2001 01 01 08 294  9.8 13.8  1.29  5.00  4.12 999 1020.6  -0.3   5.3  -6.7 99.0 99.00
2001 01 01 09 296  9.6 12.1  1.26  4.35  4.08 999 1020.6  -0.5   5.2  -6.6 99.0 99.00
2001 01 01 10 308 10.8 13.3  1.29  4.35  4.03 999 1020.7  -0.7   5.2  -6.7 99.0 99.00
2001 01 01 11 306 10.5 12.7  1.29  4.55  4.06 999 1021.6  -0.8   5.1  -6.4 99.0 99.00
2001 01 01 12 301  9.2 11.2  1.22  4.55  4.05 999 1022.5  -0.9   5.2  -6.5 99.0 99.00
2001 01 01 13 312 10.2 12.6  1.08  4.76  4.04 999 1022.7  -0.9   5.1  -6.2 99.0 99.00
2001 01 01 14 305  9.4 11.4  1.23  4.55  4.04 999 1023.6  -0.9   5.1  -6.0 99.0 99.00
2001 01 01 15 308  9.0 11.6  1.09  4.76  4.00 999 1024.0  -0.9   5.2  -5.8 99.0 99.00
2001 01 01 16 310  9.0 11.5  1.06  4.55  4.04 999 1023.7  -0.7   5.4  -5.5 99.0 99.00
2001 01 01 17 307  8.1 10.3  1.11  4.76  4.13 999 1022.8  -0.6   5.4  -5.9 99.0 99.00
2001 01 01 18 310  7.8  9.6  1.10  4.76  4.05 999 1022.1  -0.1   5.3  -5.6 99.0 99.00
