YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 205 10.9 13.0  1.09  4.17  3.83 999 1022.4   7.4 999.0   2.7 99.0 99.00
2004 01 01 01 212  9.9 12.1  1.22  4.35  3.99 999 1022.9   7.6   7.8   3.8 99.0 99.00
2004 01 01 02 217  9.8 11.7  1.28  4.76  4.18 999 1022.7   7.9   7.8   4.6 99.0 99.00
2004 01 01 03 220 10.1 12.1  1.31  4.76  4.14 999 1022.2   7.9   7.8   4.9 99.0 99.00
2004 01 01 04 221  9.3 10.9  1.28  4.76  4.16 999 1021.7   7.9   7.8   4.4 99.0 99.00
2004 01 01 05 235  8.5 10.2  1.28  5.00  4.17 999 1021.1   8.1   7.8   3.5 99.0 99.00
2004 01 01 06 243  7.4  8.4  1.19  5.26  4.14 999 1021.4   8.1   7.8   2.7 99.0 99.00
2004 01 01 07 259  5.7  6.5  1.04  5.00  4.19 999 1022.5   7.9   7.8   2.3 99.0 99.00
2004 01 01 08 265  6.9  8.2  0.94  5.26  4.07 999 1022.8   7.9   7.9   1.2 99.0 99.00
2004 01 01 09 261  5.6  6.6 99.00 99.00 99.00 999 1023.3   7.6   7.9   1.7 99.0 99.00
2004 01 01 10 277  6.1  6.9 99.00 99.00 99.00 999 1023.7   7.7   7.8   0.9 99.0 99.00
2004 01 01 11 287  5.8  6.7  0.77  5.26  4.23 999 1024.5   7.7   7.7   0.8 99.0 99.00
2004 01 01 12 295  5.3  6.4  0.78  5.26  4.31 999 1025.6   7.5   7.6   0.9 99.0 99.00
2004 01 01 14 316  4.7  5.5  0.59  5.56  4.11 999 1028.2   7.3   7.5   0.5 99.0 99.00
2004 01 01 15 324  5.0  5.8  0.55  5.56  3.95 999 1029.1   7.5   7.5   0.3 99.0 99.00
2004 01 01 16 316  3.5  4.4  0.53  4.55  4.15 999 1028.6   7.5   7.6   0.3 99.0 99.00
2004 01 01 17 300  3.9  4.5  0.50  5.26  4.25 999 1027.6   7.6   7.6   0.0 99.0 99.00
2004 01 01 18 341  3.5  4.0  0.49  5.00  4.30 999 1027.1   7.6   7.7  -1.0 99.0 99.00
2004 01 01 19 333  4.5  5.4  0.45  4.76  4.19 999 1027.0   7.9   7.7  -1.0 99.0 99.00
2004 01 01 20 344  3.3  3.9  0.40  4.76  4.22 999 1027.3   8.1   7.7  -0.9 99.0 99.00
2004 01 01 21 348  2.4  3.0  0.34  5.00  4.38 999 1027.1   8.0   7.6  -0.6 99.0 99.00
2004 01 01 22 316  1.8  2.3  0.34  4.35  4.33 999 1027.3   7.5   7.6   0.1 99.0 99.00
2004 01 01 23 208  2.4  3.7  0.33  4.35  4.71 999 1027.4   7.2   7.4   2.5 99.0 99.00
2004 01 02 00 209  2.4  2.8  0.32 14.29  4.71 999 1027.8   7.3   7.3   2.3 99.0 99.00
2004 01 02 01 183  1.5  1.8  0.31 12.50  4.92 999 1028.0   7.3   7.5   2.8 99.0 99.00
2004 01 02 02 127  0.6  1.4  0.30 12.50  5.04 999 1028.0   7.1   7.5   2.7 99.0 99.00
2004 01 02 03 186  2.8  3.7  0.31 12.50  5.43 999 1027.9   7.3   7.4   2.6 99.0 99.00
2004 01 02 04 161  3.8  4.5  0.29 12.50  5.20 999 1027.0   7.5   7.5   2.9 99.0 99.00
2004 01 02 05 162  3.3  3.7  0.29 14.29  5.66 999 1026.2   7.6   7.5   5.1 99.0 99.00
2004 01 02 06 187  2.6  2.9  0.31 12.50  5.75 999 1026.1   7.6   7.5   5.6 99.0 99.00
2004 01 02 07 190  3.0  3.4  0.34  5.56  5.65 999 1025.6   7.6   7.5   5.3 99.0 99.00
2004 01 02 08 175  4.1  4.8  0.31  4.55  5.33 999 1025.3   7.7   7.4   6.1 99.0 99.00
2004 01 02 09 175  4.8  5.3  0.30 12.50  5.46 999 1024.3   7.9   7.4   5.9 99.0 99.00
2004 01 02 10 166  5.6  6.2  0.33 12.50  5.26 999 1023.0   8.1   7.4   5.7 99.0 99.00
2004 01 02 11 161  6.3  7.1  0.35  2.50  3.73 999 1022.3   8.4   7.4   5.8 99.0 99.00
2004 01 02 12 166  5.3  5.8  0.45  2.94  3.50 999 1022.4   8.6   7.4   6.4 99.0 99.00
2004 01 02 13 219  1.9  2.3  0.44  3.23  3.63 999 1023.7   8.5   7.4   6.7 99.0 99.00
2004 01 02 14 164  6.4  7.6  0.46  3.33  3.78 999 1022.8   8.5   7.4   6.7 99.0 99.00
2004 01 02 15 190  7.2  8.5  0.55  3.70  3.69 999 1022.9   8.8   7.4   6.7 99.0 99.00
2004 01 02 16 203  7.6  8.9  0.65  4.00  3.65 999 1021.8   8.4   7.4   6.6 99.0 99.00
2004 01 02 17 203  7.1  8.5  0.78  4.00  3.73 999 1020.5   7.5   7.4   6.2 99.0 99.00
2004 01 02 18 230  3.7  4.6  0.79  4.17  3.93 999 1020.1   7.5   7.5   6.2 99.0 99.00
2004 01 02 19 215  2.7  3.4  0.77  4.35  4.06 999 1019.7   7.8   7.5   5.8 99.0 99.00
2004 01 02 20 218  3.2  3.8  0.75  4.76  4.11 999 1019.5   7.7   7.5   6.0 99.0 99.00
2004 01 02 21 211  3.6  4.5  0.72  4.76  4.22 999 1019.3   7.7   7.5   6.2 99.0 99.00
2004 01 02 22 228  3.0  3.5  0.67  4.55  4.21 999 1019.6   7.7   7.5   6.2 99.0 99.00
2004 01 02 23 250  2.7  3.0  0.62  4.76  4.31 999 1020.3   7.7   7.5   6.2 99.0 99.00
2004 01 03 00 205  1.8  2.5  0.61  4.55  4.27 999 1020.2   7.6   7.5   6.3 99.0 99.00
2004 01 03 01 271  2.6  3.2  0.58  4.55  4.41 999 1021.3   7.6   7.5   6.3 99.0 99.00
2004 01 03 02 256  0.6  1.6  0.49  4.35  4.31 999 1021.5   7.5   7.5   6.4 99.0 99.00
2004 01 03 03 168  1.6  1.9  0.51  4.35  4.32 999 1021.2   7.5   7.5   6.3 99.0 99.00
2004 01 03 04 173  1.7  1.8  0.48  4.55  4.32 999 1020.6   7.6   7.4   6.5 99.0 99.00
2004 01 03 05 150  1.3  1.4  0.56  4.76  4.36 999 1020.2   8.0   7.4   6.6 99.0 99.00
2004 01 03 06  96  1.7  2.1  0.58  4.76  4.34 999 1019.6   8.0   7.5   6.5 99.0 99.00
2004 01 03 07 128  3.2  3.7  0.50  4.55  4.23 999 1018.8   7.8   7.5   6.7 99.0 99.00
2004 01 03 08 150  3.3  3.6  0.50  4.55  4.43 999 1018.7   8.2   7.6   6.9 99.0 99.00
2004 01 03 09 146  4.9  5.4  0.49  4.76  4.49 999 1017.8   8.4   7.5   7.4 99.0 99.00
2004 01 03 10 155  5.7  6.6  0.53  4.55  4.61 999 1017.2   8.9   7.6   8.0 99.0 99.00
2004 01 03 11 175  6.5  7.8  0.57  4.76  4.34 999 1016.9   9.2   7.6   7.0 99.0 99.00
2004 01 03 12 191  6.4  7.8  0.60  4.76  3.75 999 1016.4   9.1   7.6   6.2 99.0 99.00
2004 01 03 13 205  6.8  7.8  0.64  5.26  3.91 999 1016.7   9.1   7.6   5.9 99.0 99.00
2004 01 03 14 197  8.2  9.6  0.74  3.03  3.81 999 1016.4   9.0   7.6   5.9 99.0 99.00
2004 01 03 15 211  7.3  8.7  0.79  4.17  3.88 999 1017.2   8.9   7.7   6.0 99.0 99.00
