YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 191  7.1  8.1  0.60 10.00  3.47 999 1026.9   9.4   7.9   7.8 99.0 99.00
2005 01 01 01 00 195  6.8  7.6  0.66 10.81  3.53 999 1027.0   9.6   7.8   7.5 99.0 99.00
2005 01 01 02 00 206  7.0  8.3  0.61  3.13  3.37 999 1026.8   9.7   7.8   7.0 99.0 99.00
2005 01 01 03 00 217  6.3  7.4  0.68 10.81  3.47 999 1026.9   9.5   8.1   7.1 99.0 99.00
2005 01 01 04 00 222  6.4  7.6  0.71  3.45  3.57 999 1026.7   8.7   8.1   7.0 99.0 99.00
2005 01 01 05 00 216  7.7  8.6  0.71  3.45  3.46 999 1025.9   8.9   8.2   7.2 99.0 99.00
2005 01 01 06 00 224  6.1  6.9  0.83 10.81  3.86 999 1025.9   8.8   8.0   6.9 99.0 99.00
2005 01 01 07 00 213  6.0  6.6  0.72  3.70  3.78 999 1025.7   8.7   7.9   6.8 99.0 99.00
2005 01 01 08 00 236  4.1  4.5  0.73  3.70  4.06 999 1026.0   8.1   7.1   6.5 99.0 99.00
2005 01 01 09 00 225  4.9  5.5  0.68 11.43  4.14 999 1025.5   7.7   7.1   6.4 99.0 99.00
2005 01 01 10 00 230  4.3  4.9  0.65 10.81  4.32 999 1025.5   7.5   7.0   6.2 99.0 99.00
2005 01 01 11 00 241  4.3  4.8  0.69 10.81  4.48 999 1026.0   7.3   6.6   6.0 99.0 99.00
2005 01 01 12 00 231  3.3  3.8  0.62 10.00  4.32 999 1026.6   7.2   6.6   5.9 99.0 99.00
2005 01 01 13 00 242  3.8  4.5  0.61 10.81  4.69 999 1027.1   7.4   6.6   5.9 99.0 99.00
2005 01 01 14 00 251  4.0  4.6  0.63 10.00  4.71 999 1027.7   7.8   6.8   6.0 99.0 99.00
2005 01 01 15 00 253  4.4  4.8  0.60 10.81  4.47 999 1028.2   8.4   7.1   6.1 99.0 99.00
2005 01 01 16 00 253  4.2  4.6  0.55 10.00  4.54 999 1028.1   8.5   7.3   6.3 99.0 99.00
2005 01 01 17 00 249  5.0  5.5  0.61 10.81  5.25 999 1027.7   8.9   7.1   6.6 99.0 99.00
2005 01 01 18 00 239  3.2  3.9  0.55 10.81  4.97 999 1027.4   9.5   7.0   7.0 99.0 99.00
2005 01 01 19 00 238  2.7  3.3  0.53 11.43  5.07 999 1027.3  10.1   7.2   7.0 99.0 99.00
2005 01 01 20 00 236  1.9  2.4  0.55 10.81  5.70 999 1027.2  10.3   7.2   6.9 99.0 99.00
2005 01 01 21 00 192  1.7  2.0  0.55 10.81  5.52 999 1028.1  10.0   7.0   6.5 99.0 99.00
2005 01 01 22 00 214  2.0  2.4  0.57 10.81  5.51 999 1029.0   9.1   6.9   6.8 99.0 99.00
2005 01 01 23 00 218  1.1  1.4  0.55 11.43  5.80 999 1029.9  11.7   6.7   6.6 99.0 99.00
2005 01 02 00 00 312  0.7  1.1  0.60 10.81  6.03 999 1030.6  12.4   6.5   6.5 99.0 99.00
2005 01 02 01 00 228  0.7  1.0  0.59 10.81  5.66 999 1031.3  11.0   6.8   6.5 99.0 99.00
2005 01 02 02 00 351  2.0  2.3  0.60 10.00  5.98 999 1031.5  12.0   6.9   6.0 99.0 99.00
2005 01 02 03 00  45  4.8  5.2  0.59 10.81  6.13 999 1032.4   9.6   6.7   5.8 99.0 99.00
2005 01 02 04 00  42  8.0  9.4  0.62 11.43  4.60 999 1033.0   9.5   7.2   5.4 99.0 99.00
2005 01 02 05 00  38  8.6  9.7  0.90  3.45  3.64 999 1032.9   8.9   7.4   3.9 99.0 99.00
2005 01 02 06 00  42  8.2 10.1  1.07  4.00  3.88 999 1032.9   8.6   7.7   4.5 99.0 99.00
2005 01 02 07 00  52  8.9 11.2  1.12  4.35  4.03 999 1033.0   8.6   7.9   5.4 99.0 99.00
2005 01 02 08 00  49  8.1  9.7  1.20  4.76  4.08 999 1034.1   8.4   8.0   5.4 99.0 99.00
2005 01 02 09 00  54  8.0 10.1  1.26  5.00  4.26 999 1034.5   8.2   7.8   5.1 99.0 99.00
2005 01 02 10 00  54  7.9  9.8  1.46  5.26  4.56 999 1035.1   7.9   7.7   4.5 99.0 99.00
2005 01 02 11 00  61  7.9  9.1  1.48  5.56  4.57 999 1035.3   8.0   7.8   4.7 99.0 99.00
2005 01 02 12 00  67  8.0  9.5  1.44  5.56  4.49 999 1035.5   8.1   7.9   4.9 99.0 99.00
2005 01 02 13 00  76  8.0  9.4  1.37  5.88  4.46 999 1035.6   8.4   8.1   5.1 99.0 99.00
2005 01 02 14 00  75  6.6  7.8  1.51  5.56  4.69 999 1036.5   8.6   8.1   5.6 99.0 99.00
2005 01 02 15 00  74  4.6  5.5  1.44  5.88  4.73 999 1036.9   8.9   8.2   6.5 99.0 99.00
2005 01 02 16 00  84  5.3  6.1  1.31  5.56  4.77 999 1036.4   9.0   8.2   6.5 99.0 99.00
2005 01 02 17 00  89  4.9  5.9  1.37  6.25  4.87 999 1035.6   9.1   8.3   6.8 99.0 99.00
2005 01 02 18 00  75  2.6  3.0  1.30  6.67  5.03 999 1035.3   9.2   8.3   7.0 99.0 99.00
2005 01 02 19 00  53  3.3  4.1  1.43  7.14  5.28 999 1034.8   9.0   8.3   7.5 99.0 99.00
2005 01 02 20 00  73  3.2  3.8  1.26  6.67  5.20 999 1034.4   9.1   8.2   7.7 99.0 99.00
2005 01 02 21 00  74  3.6  4.4  1.18  5.88  5.03 999 1033.9   9.0   8.1   7.9 99.0 99.00
2005 01 02 22 00  96  3.6  4.4  1.19 10.81  5.36 999 1033.6   9.2   8.1   8.2 99.0 99.00
2005 01 02 23 00 125  5.6  6.4  1.09  5.56  5.19 999 1032.9   9.6   8.2   8.5 99.0 99.00
2005 01 03 00 00 134  6.1  6.9  1.12 10.81  4.83 999 1032.5   9.9   8.4   8.5 99.0 99.00
2005 01 03 01 00 143  6.6  7.8  1.13 10.00  4.70 999 1031.9  10.0   8.3   8.6 99.0 99.00
2005 01 03 02 00 154  4.5  5.2  1.04  5.88  4.53 999 1032.2   9.9   8.2   8.9 99.0 99.00
2005 01 03 03 00 151  4.6  5.1  1.04 10.81  4.84 999 1031.9   9.9   8.3   8.9 99.0 99.00
2005 01 03 04 00 165  5.2  5.9  0.96 10.81  4.85 999 1031.3  10.0   8.3   9.2 99.0 99.00
2005 01 03 05 00 185  4.6  5.3  0.96  5.88  4.80 999 1031.0  10.1   8.3   9.3 99.0 99.00
2005 01 03 06 00 233  4.1  4.9  0.92 10.81  4.87 999 1030.2   9.7   8.3   8.7 99.0 99.00
2005 01 03 07 00 213  3.2  3.9  0.93 10.00  5.09 999 1029.9   9.0   8.3   8.3 99.0 99.00
2005 01 03 08 00 214  3.6  4.1  0.99 10.00  5.58 999 1029.6   8.7   8.3   8.0 99.0 99.00
2005 01 03 09 00 224  4.6  5.4  0.95 10.81  5.62 999 1029.5   8.8   8.3   8.1 99.0 99.00
2005 01 03 10 00 214  5.8  7.0  0.97  6.67  5.57 999 1029.1   8.5   8.2   7.9 99.0 99.00
2005 01 03 11 00 212  5.2  6.1  1.01 10.00  5.23 999 1029.0   8.4   8.2   7.8 99.0 99.00
2005 01 03 12 00 215  4.5  5.4  1.01  6.25  5.42 999 1028.8   8.6   8.2   7.9 99.0 99.00
2005 01 03 13 00 212  4.9  5.5  0.98 10.00  5.59 999 1029.1   8.3   8.1   7.6 99.0 99.00
2005 01 03 14 00 212  4.0  4.7  0.92 10.00  5.38 999 1028.9   8.2   8.0   7.5 99.0 99.00
2005 01 03 15 00 212  4.9  5.9  0.93 10.00  5.34 999 1028.9   8.3   7.9   7.7 99.0 99.00
2005 01 03 16 00 211  4.5  5.2  0.90 10.00  5.34 999 1028.5   8.2   7.9   7.6 99.0 99.00
2005 01 03 17 00 207  5.3  6.2  0.90 10.00  5.12 999 1026.9   8.4   7.8   8.0 99.0 99.00
2005 01 03 18 00 212  5.5  6.3  0.87 10.00  5.06 999 1026.1   8.7   7.9   8.1 99.0 99.00
