#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 342  3.4  4.3  0.81  8.33  5.01 999 1020.5   8.8   9.5   3.6 99.0 99.00
2008 01 01 01 00  23  1.0  1.4  0.75  7.69  5.12 999 1021.5   8.7   9.4   2.9 99.0 99.00
2008 01 01 02 00 134  2.5  3.0  0.73  7.69  5.38 999 1021.4   8.9   9.4   2.8 99.0 99.00
2008 01 01 03 00 212  2.9  3.5  0.72  7.69  5.70 999 1021.1   8.5   9.5 999.0 99.0 99.00
2008 01 01 04 00 190  5.6  6.7  0.66  7.69  5.51 999 1021.2   8.9   9.6 999.0 99.0 99.00
2008 01 01 05 00 191  7.0  8.3  0.74  8.33  3.95 999 1021.1   9.1   9.6   6.4 99.0 99.00
2008 01 01 06 00 173  8.1  9.2  0.82  7.69  3.80 999 1019.8   9.1   9.8   8.0 99.0 99.00
2008 01 01 07 00 174  8.7 10.4  0.99  7.69  3.72 999 1019.3   9.1   9.8   7.8 99.0 99.00
2008 01 01 08 00 161  9.2 10.9  1.06  3.85  3.71 999 1018.0   9.3   9.8   7.8 99.0 99.00
2008 01 01 09 00 145  9.4 10.7  1.20  4.17  3.85 999 1016.9   9.4   9.8   7.3 99.0 99.00
2008 01 01 10 00 144  9.8 11.4  1.22  4.35  3.86 999 1015.6   9.7   9.8   7.1 99.0 99.00
2008 01 01 11 00 146 10.4 12.8  1.33  4.35  4.00 999 1014.2  10.0   9.8   8.1 99.0 99.00
2008 01 01 12 00 150 10.3 12.3  1.57  4.76  4.16 999 1013.2  10.4   9.7   8.9 99.0 99.00
2008 01 01 13 00 150 10.0 12.2  1.57  5.26  4.26 999 1012.7  10.5   9.7   9.9 99.0 99.00
2008 01 01 14 00 166  8.7 10.4  1.51  5.00  4.30 999 1012.0  11.0   9.8  10.6 99.0 99.00
2008 01 01 15 00 184  7.8  8.7  1.65  5.00  4.39 999 1011.1  11.3   9.8  10.8 99.0 99.00
2008 01 01 16 00 211  8.3 10.0  1.57  5.00  4.34 999 1009.9  11.6   9.9  11.2 99.0 99.00
2008 01 01 17 00 241  6.9  8.2  1.48  5.26  4.31 999 1008.8  10.3   9.9   9.9 99.0 99.00
2008 01 01 18 00 254  4.8  5.9  1.25  5.00  4.22 999 1007.5  10.6  10.0   8.5 99.0 99.00
2008 01 01 19 00 270  5.5  6.3  1.08  5.56  4.27 999 1007.1  10.8  10.0   7.4 99.0 99.00
2008 01 01 20 00 303  7.7  9.3  0.97  5.00  4.08 999 1007.0  10.4  10.0 999.0 99.0 99.00
2008 01 01 21 00 295  8.7 10.0  1.10  5.26  3.70 999 1007.9  10.1  10.0 999.0 99.0 99.00
2008 01 01 22 00 290  8.0 10.0  1.04  3.70  3.71 999 1008.2  10.0   9.9 999.0 99.0 99.00
2008 01 01 23 00 308 10.2 12.0  1.09  3.70  3.59 999 1009.0   9.0   9.9 999.0 99.0 99.00
2008 01 02 00 00 302 12.3 14.6  1.15  4.00  3.62 999 1009.8   7.9   9.9  -1.1 99.0 99.00
2008 01 02 01 00 297 12.8 15.9  1.42  4.55  3.91 999 1010.1   7.2   9.9  -1.1 99.0 99.00
2008 01 02 02 00 294 13.1 15.5  1.61  5.00  4.13 999 1010.3   6.7   9.9  -2.0 99.0 99.00
2008 01 02 03 00 292 12.7 15.7  1.50  5.00  4.17 999 1010.2   6.3   9.8  -2.5 99.0 99.00
2008 01 02 04 00 291 13.4 16.9  1.53  5.00  4.10 999 1010.0   5.7   9.8  -2.8 99.0 99.00
2008 01 02 05 00 293 12.7 15.6  1.68  5.00  4.31 999 1009.8   5.1   9.8  -3.7 99.0 99.00
2008 01 02 06 00 292 13.3 16.4  1.59  5.00  4.24 999 1009.8   4.5   9.8  -2.5 99.0 99.00
2008 01 02 07 00 296 12.4 15.1  1.61  5.26  4.35 999 1009.9   4.2   9.8  -2.5 99.0 99.00
