#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 292  7.4  8.7  0.85  6.67  3.83 999 1017.4  11.5  10.2 999.0 99.0 99.00
2012 01 01 00 50 291  7.2  8.5  0.88  5.00  3.90 999 1018.3  11.0  10.1 999.0 99.0 99.00
2012 01 01 01 50 300  6.9  8.2  0.86  6.67  3.94 999 1018.7  10.7  10.1 999.0 99.0 99.00
2012 01 01 02 50 289  6.5  7.6  0.87  6.67  4.25 999 1019.5  10.5  10.1 999.0 99.0 99.00
2012 01 01 03 50 297  7.5  8.7  0.83  7.14  4.02 999 1019.8  10.4  10.1 999.0 99.0 99.00
2012 01 01 04 50 306  6.3  7.4  0.79  6.67  3.93 999 1020.4  10.1  10.1 999.0 99.0 99.00
2012 01 01 05 50 304  6.2  7.7  0.76  6.67  3.84 999 1020.3   9.9  10.0 999.0 99.0 99.00
2012 01 01 06 50 309  6.0  7.1  0.71  7.14  3.95 999 1020.8   9.6  10.0 999.0 99.0 99.00
2012 01 01 07 50 305  5.8  7.0  0.65  6.25  3.67 999 1021.3   9.5  10.0 999.0 99.0 99.00
2012 01 01 08 50 306  6.3  7.3  0.63  7.69  3.58 999 1021.5   9.2  10.0 999.0 99.0 99.00
2012 01 01 09 50 313  4.3  4.8  0.58  7.69  3.76 999 1021.5   9.0  10.0 999.0 99.0 99.00
2012 01 01 10 50 303  2.7  3.2  0.53  7.69  3.93 999 1021.7   9.0   9.9 999.0 99.0 99.00
2012 01 01 11 50 282  2.7  3.1  0.49  7.14  3.98 999 1022.4   8.9   9.9 999.0 99.0 99.00
2012 01 01 12 50 240  2.2  2.6  0.45  7.14  4.44 999 1022.7   9.0   9.9 999.0 99.0 99.00
2012 01 01 13 50 212  2.5  2.9  0.48  7.69  4.81 999 1022.7   9.3   9.9 999.0 99.0 99.00
2012 01 01 14 50 182  3.8  4.3  0.52  7.14  5.42 999 1022.3   9.5  10.1 999.0 99.0 99.00
2012 01 01 15 50 186  5.7  6.5  0.48  7.14  5.41 999 1021.4   9.8  10.2 999.0 99.0 99.00
2012 01 01 16 50 183  7.0  7.9  0.53  7.14  3.53 999 1019.5  10.2  10.3 999.0 99.0 99.00
2012 01 01 17 50 176  6.5  7.8  0.64  7.14  3.58 999 1017.7  10.5  10.3 999.0 99.0 99.00
2012 01 01 18 50 160  5.9  6.9  0.62  7.14  3.57 999 1016.0  10.8  10.4 999.0 99.0 99.00
2012 01 01 19 50 170  7.0  8.0  0.71  3.45  3.58 999 1014.7  11.5  10.4 999.0 99.0 99.00
2012 01 01 20 50 179  8.1  9.2  0.80  3.57  3.58 999 1013.9  11.9  10.3 999.0 99.0 99.00
2012 01 01 21 50 178  8.8 10.6  0.94  4.00  3.60 999 1013.0  12.1  10.2 999.0 99.0 99.00
2012 01 01 22 50 167 11.1 13.1  1.02  4.17  3.77 999 1010.2  12.5  10.2 999.0 99.0 99.00
2012 01 01 23 50 187 10.3 12.0  1.37  4.55  4.09 999 1010.6  12.6  10.2 999.0 99.0 99.00
2012 01 02 00 50 207  8.3  9.3  1.30  5.00  4.13 999 1011.1  12.2  10.1 999.0 99.0 99.00
2012 01 02 01 50 201  8.5 10.0  1.47  5.56  4.57 999 1009.7  11.7  10.1 999.0 99.0 99.00
2012 01 02 02 50 209  9.9 12.4  1.77  5.88  4.75 999 1009.1  12.0  10.1 999.0 99.0 99.00
2012 01 02 03 50 214  8.3 10.0  1.78  6.67  4.84 999 1008.9  11.4  10.1 999.0 99.0 99.00
2012 01 02 04 50 238  8.0  8.9  1.89  7.14  5.08 999 1008.8  11.6  10.1 999.0 99.0 99.00
2012 01 02 05 50 279  8.3 10.1  1.83  6.67  5.25 999 1009.2  12.2  10.1 999.0 99.0 99.00
2012 01 02 08 50 302 10.2 12.6  1.82  7.14  4.58 999 1010.5   9.1  10.1 999.0 99.0 99.00
2012 01 02 09 50 297 10.4 13.2  1.67  6.67  4.53 999 1010.4   8.8  10.1 999.0 99.0 99.00
2012 01 02 10 50 302 13.7 16.6  1.60  7.14  4.27 999 1010.8   7.6  10.0 999.0 99.0 99.00
2012 01 02 11 50 300 12.5 15.6  1.91  4.76  4.50 999 1012.1   6.0  10.1 999.0 99.0 99.00
2012 01 02 12 50 296 14.2 17.2  1.94  5.26  4.56 999 1012.9   5.3  10.1 999.0 99.0 99.00
2012 01 02 13 50 295 13.3 16.4  1.89  5.88  4.52 999 1013.9   4.7  10.1 999.0 99.0 99.00
2012 01 02 14 50 292 12.0 14.8  1.74  5.56  4.48 999 1014.0   4.8  10.1 999.0 99.0 99.00
2012 01 02 15 50 289 11.7 14.0  1.54  5.56  4.36 999 1013.6   4.7  10.2 999.0 99.0 99.00
2012 01 02 16 50 287 12.0 14.9  1.48  5.26  4.27 999 1012.5   4.9  10.3 999.0 99.0 99.00
2012 01 02 17 50 289 10.1 12.8  1.35  5.00  4.24 999 1011.8   5.3  10.3 999.0 99.0 99.00
2012 01 02 18 50 289 10.7 12.7  1.36  5.00  4.18 999 1011.0   5.3  10.3 999.0 99.0 99.00
2012 01 02 19 50 289  9.5 11.9  1.31  5.26  4.25 999 1011.4   5.6  10.3 999.0 99.0 99.00
2012 01 02 20 50 297 11.0 13.6  1.27  5.26  4.09 999 1011.9   5.3  10.3 999.0 99.0 99.00
2012 01 02 21 50 289  9.6 12.3  1.32  4.76  4.12 999 1012.9   5.1  10.2 999.0 99.0 99.00
2012 01 02 22 50 296 10.0 13.0  1.26  5.00  4.13 999 1013.5   4.9  10.1 999.0 99.0 99.00
2012 01 02 23 50 300 10.6 12.9  1.25  5.00  4.01 999 1013.9   4.9  10.1 999.0 99.0 99.00
2012 01 03 00 50 297 11.5 13.9  1.20  4.76  3.94 999 1014.1   4.7  10.0 999.0 99.0 99.00
2012 01 03 01 50 305 10.7 13.3  1.36  4.76  4.05 999 1013.8   4.4  10.0 999.0 99.0 99.00
2012 01 03 02 50 307 10.0 12.9  1.15  4.55  3.96 999 1013.7   4.5  10.0 999.0 99.0 99.00
2012 01 03 03 50 297  9.5 11.5  1.06  4.55  3.93 999 1013.5   4.2  10.0 999.0 99.0 99.00
2012 01 03 04 50 297  9.6 11.5  1.02  4.35  3.92 999 1013.1   3.8   9.9 999.0 99.0 99.00
2012 01 03 05 50 296  9.7 11.8  1.11  4.76  4.02 999 1013.0   3.3  10.1 999.0 99.0 99.00
2012 01 03 06 50 303  9.4 11.8  1.21  4.76  4.09 999 1012.8   2.9  10.1 999.0 99.0 99.00
2012 01 03 07 50 312 10.6 13.0  1.18  5.00  4.14 999 1012.7   2.5  10.1 999.0 99.0 99.00
2012 01 03 08 50 313 11.3 13.8  1.26  5.00  4.02 999 1012.3   2.1  10.0 999.0 99.0 99.00
2012 01 03 09 50 325 10.9 14.2  1.42  5.26  4.16 999 1012.4   1.9  10.0 999.0 99.0 99.00
2012 01 03 10 50 313 11.3 13.6  1.52  5.00  4.20 999 1013.0   1.4  10.0 999.0 99.0 99.00
2012 01 03 11 50 313 11.7 14.2  1.49  5.00  4.23 999 1013.6   1.2  10.0 999.0 99.0 99.00
2012 01 03 12 50 319 13.1 16.1  1.72  5.26  4.34 999 1012.8   1.6  10.0 999.0 99.0 99.00
2012 01 03 13 50 323 14.7 17.5  1.96  5.26  4.44 999 1013.0   1.4  10.0 999.0 99.0 99.00
2012 01 03 14 50 320 14.5 17.9  2.13  5.88  4.66 999 1013.8   1.1  10.0 999.0 99.0 99.00
2012 01 03 15 50 325 13.8 16.6  1.96  5.56  4.56 999 1013.9   1.1  10.1 999.0 99.0 99.00
2012 01 03 16 50 318 11.9 16.2  2.07  6.25  4.81 999 1014.0   0.6  10.1 999.0 99.0 99.00
2012 01 03 17 50 327 14.3 18.6  1.97  5.56  4.64 999 1013.2   0.3  10.2 999.0 99.0 99.00
2012 01 03 18 50 309 14.0 17.0  1.97  5.88  4.71 999 1013.6   0.1  10.2 999.0 99.0 99.00
2012 01 03 19 50 327 13.8 18.0  2.25  5.88  4.86 999 1014.3   0.4  10.2 999.0 99.0 99.00
2012 01 03 20 50 324 14.6 20.2  2.32  5.88  4.95 999 1015.3   0.3  10.2 999.0 99.0 99.00
2012 01 03 21 50 321 14.0 18.9  2.44  6.67  4.94 999 1016.7   0.2  10.0 999.0 99.0 99.00
2012 01 03 22 50 319 13.1 16.8  2.52  6.25  4.97 999 1018.3  -0.2   9.9 999.0 99.0 99.00
2012 01 03 23 50 342 13.3 16.5  2.40  5.88  4.96 999 1019.7  -0.5   9.9 999.0 99.0 99.00
2012 01 04 00 50 333 12.4 15.1  2.07  6.25  4.63 999 1020.8  -0.6   9.9 999.0 99.0 99.00
2012 01 04 01 50 320 11.5 15.0  2.10  5.26  4.68 999 1021.4  -0.9   9.8 999.0 99.0 99.00
2012 01 04 02 50 302 12.5 14.7  2.20  5.88  4.76 999 1021.8  -1.4   9.7 999.0 99.0 99.00
2012 01 04 03 50 305 11.7 15.1  1.99  6.25  4.67 999 1022.3  -1.6   9.6 999.0 99.0 99.00
2012 01 04 04 50 304 11.7 15.2  1.81  5.56  4.62 999 1022.9  -2.2   9.4 999.0 99.0 99.00
2012 01 04 05 50 308 10.6 13.2  1.85  5.26  4.66 999 1023.1  -2.4   9.2 999.0 99.0 99.00
2012 01 04 06 50 305 10.0 12.2  1.79  5.00  4.71 999 1023.2  -2.8   9.2 999.0 99.0 99.00
2012 01 04 07 50 304 10.5 13.2  1.67  5.26  4.56 999 1024.0  -3.4   9.2 999.0 99.0 99.00
2012 01 04 08 50 304  9.0 11.4  1.58  5.56  4.42 999 1024.2  -3.9   9.2 999.0 99.0 99.00
2012 01 04 09 50 302  8.4 11.0  1.49  5.00  4.31 999 1024.8  -4.3   9.2 999.0 99.0 99.00
2012 01 04 10 50 307  7.5 10.0  1.58  4.76  4.46 999 1025.1  -4.6   9.1 999.0 99.0 99.00
2012 01 04 11 50 312  8.0 10.3  1.44  5.00  4.32 999 1026.0  -5.0   9.1 999.0 99.0 99.00
