Hurricane_ID,Hurricane_Name,Hurricane_Type,datetime,distance_km,Arrival_Time,wind_speed_ms,wind_direction,max_wind_ms,category,pressure,wind_speed_change_rate,wind_direction_change_rate,duration_above_cut_out,quadrant
AL182012,SANDY,Historical,2012-10-21 18:00:00,2678.7520020987445,2012-10-29 06:00:00,0.12991943549422552,83.52604403132767,12.8611,Tropical Depression,1006.0,0.0,0.0,0.0,NE
AL182012,SANDY,Historical,2012-10-22 00:00:00,2727.209894549616,2012-10-29 06:00:00,0.1264807487445666,82.70432326165076,12.8611,Tropical Depression,1005.0,-0.0005731144582764858,-0.13695346161281918,0.0,NE
AL182012,SANDY,Historical,2012-10-22 06:00:00,2776.1176045718207,2012-10-29 06:00:00,0.12316118180763826,81.91200069256843,12.8611,Tropical Depression,1003.0,-0.0005532611561547251,-0.1320537615137217,0.0,NE
AL182012,SANDY,Historical,2012-10-22 12:00:00,2825.4558379597047,2012-10-29 06:00:00,0.14394827801909313,81.14781373281465,15.43332,Tropical Depression,1002.0,0.0034645160352424786,-0.12736449329229532,0.0,NE
AL182012,SANDY,Historical,2012-10-22 18:00:00,2870.9436231810027,2012-10-29 06:00:00,0.16397334414559334,81.06534885050883,18.00554,Tropical Storm,1000.0,0.0033375110210833677,-0.01374414705097138,0.0,NE
AL182012,SANDY,Historical,2012-10-23 00:00:00,2878.0250759902997,2012-10-29 06:00:00,0.18670846943581346,81.7543128376995,20.57776,Tropical Storm,998.0,0.00378918754837002,0.11482733119844586,0.0,NE
AL182012,SANDY,Historical,2012-10-23 06:00:00,2841.2137454673534,2012-10-29 06:00:00,0.19034024720076678,82.32253153479326,20.57776,Tropical Storm,998.0,0.0006052962941588876,0.0947031161822925,0.0,NE
AL182012,SANDY,Historical,2012-10-23 12:00:00,2783.6275298143223,2012-10-29 06:00:00,0.19626288624501256,82.62276822725732,20.57776,Tropical Storm,995.0,0.0009871065073742968,0.050039448744011374,0.0,NE
AL182012,SANDY,Historical,2012-10-23 18:00:00,2713.9905611720847,2012-10-29 06:00:00,0.22932657926262837,83.13954011962414,23.14998,Tropical Storm,993.0,0.005510615502935967,0.08612864872780317,0.0,NE
AL182012,SANDY,Historical,2012-10-24 00:00:00,2633.483537933509,2012-10-29 06:00:00,0.2932047343005438,83.65714023176315,28.294420000000002,Tropical Storm,990.0,0.010646359172985903,0.08626668535650121,0.0,NE
AL182012,SANDY,Historical,2012-10-24 06:00:00,2531.9134577976633,2012-10-29 06:00:00,0.33924473521046694,83.90680717816855,30.86664,Tropical Storm,987.0,0.007673333484987194,0.041611157734233,0.0,NE
AL182012,SANDY,Historical,2012-10-24 12:00:00,2419.3182943731154,2012-10-29 06:00:00,0.39339051674199316,84.15069544365167,33.43886,Category 1,981.0,0.009024296921921035,0.040648044247186974,0.0,NE
AL182012,SANDY,Historical,2012-10-24 18:00:00,2295.6926051667833,2012-10-29 06:00:00,0.4909475365681778,84.39146451703118,38.5833,Category 1,972.0,0.01625950330436411,0.04012817889658512,0.0,NE
AL182012,SANDY,Historical,2012-10-24 19:00:00,2272.7052281808164,2012-10-29 06:00:00,0.49839053859091254,84.61542251545973,38.5833,Category 1,971.0,0.007443002022734734,0.22395799842854555,0.0,NE
AL182012,SANDY,Historical,2012-10-25 00:00:00,2160.2650337719747,2012-10-29 06:00:00,0.6093537547622119,84.92560956266698,43.727740000000004,Category 2,964.0,0.02219264323425987,0.06203740944145011,0.0,NE
AL182012,SANDY,Historical,2012-10-25 05:25:00,2035.5062540320248,2012-10-29 06:00:00,0.7835373998481011,85.86758387727161,51.4444,Category 3,954.0,0.03215698063124109,0.17390295038854814,0.0,NE
AL182012,SANDY,Historical,2012-10-25 06:00:00,2024.4053088902635,2012-10-29 06:00:00,0.789966036732412,85.84492024408871,51.4444,Category 3,954.0,0.011020520373104288,-0.038851942599259406,0.0,NE
AL182012,SANDY,Historical,2012-10-25 09:00:00,1933.9345214528264,2012-10-29 06:00:00,0.8035185627734555,86.63934026593313,48.87218,Category 2,960.0,0.004517508680347837,0.2648066739481389,0.0,NE
AL182012,SANDY,Historical,2012-10-25 12:00:00,1844.1680866006502,2012-10-29 06:00:00,0.8626296831012281,87.16691354358028,48.87218,Category 2,966.0,0.019703706775924222,0.17585775921571667,0.0,NE
